Year,country,prop_elapsed,change_GDP,revenue,gross_debt,inflation,execrlc,frac,govfrac,max_pm_gov_leg,vote_share,union_density,dem_age,eu,openness,BBR,DR,legislative_type,transparency,structural_bal,log_con_inv,log_con_inv_t,log_gdp_dol,fisc_cent,max_elf,log_gen_exp,log_cent_exp,single_party
1998,France,0.2,3.556,49.937,61.04,76.393,0,0.7329458,0.414660603,0,34.20999932,8.182113073,29,1,49.0057228,1,1,1,NA,-1.655,1.909320746,1.96902978,28.04363395,0.464229876,0.4029,13.47475958,12.70738415,0
1999,France,0.4,3.407,50.478,60.22,76.833,0,0.7329458,0.414660603,0,34.20999932,8.058788252,30,1,49.23300565,1,1,1,NA,-1.35,1.931669008,1.991229369,28.03667287,0.468183908,0.4029,13.50495691,12.74606282,0
2000,France,0.6,3.875,49.81,58.655,78.227,0,0.7329458,0.414660603,0,34.20999932,7.970354024,31,1,55.25936459,1,1,1,NA,-2.012,1.924787814,1.991553673,27.94469252,0.45734463,0.4029,13.54029973,12.75798167,0
2001,France,0.8,1.954,49.778,58.156,79.621,0,0.7329458,0.414660603,0,34.20999932,7.905037995,32,1,54.31666762,1,1,1,NA,-2.134,1.905104127,1.973238001,27.95471202,0.461284475,0.4029,13.58115185,12.80741151,0
2002,France,1,1.118,49.211,60.078,81.165,0,0.7329458,0.414660603,0,34.20999932,8.055358734,33,1,52.4155109,1,1,1,NA,-3.382,1.927944174,1.999316412,28.03671287,0.461731744,0.4029,13.63371526,12.86094407,0
2003,France,0.2,0.82,48.925,64.21,82.928,2,0.559304595,0.139999449,0,43.33999825,7.926990527,34,1,50.13197446,1,1,1,38.88888889,-3.551,1.902971347,1.975020169,28.24519002,0.449100203,0.4029,13.66968215,12.8691729,0
2004,France,0.4,2.786,49.035,65.737,84.862,2,0.559304595,0.139999449,0,43.33999825,7.725285435,35,1,51.19677804,1,1,1,38.88888889,-3.546,1.913284346,1.9883182,28.38437401,0.452467069,0.4029,13.70854431,12.91550402,0
2005,France,0.6,1.608,49.713,67.207,86.464,2,0.559304595,0.139999449,0,43.33999825,7.667617074,36,1,53.15201431,1,1,1,83.33333333,-3.643,1.966275249,2.038339791,28.42114981,0.443318378,0.4029,13.75042575,12.93695867,0
2006,France,0.8,2.375,50.151,64.448,88.103,2,0.559304595,0.139999449,0,43.33999825,7.58645115,37,1,55.18724501,1,1,1,66.66666667,-2.869,2.020818706,2.09234516,28.47474546,0.423909814,0.4029,13.78797388,12.92973933,0
2007,France,1,2.361,49.683,64.405,89.515,2,0.559304595,0.139999449,0,43.33999825,7.547658632,38,1,55.54770336,1,1,1,50,-3.601,2.022581599,2.096021791,28.61051573,0.425008463,0.4029,13.83154925,12.97590305,0
